id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,categories,rating,location,coordinates,photos,price,hours,transactions,messaging,special_hours
4dHU2fiPDWliKxBe7fp59A,innexile-chicago,Innexile,https://s3-media3.fl.yelpcdn.com/bphoto/waRRHG7s9CQtxxhd3iamqg/o.jpg,False,False,https://www.yelp.com/biz/innexile-chicago?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+17735823510,(773) 582-3510,9,"[{'alias': 'gaybars', 'title': 'Gay Bars'}]",4.0,"{'address1': '5758 W 65th St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60638', 'country': 'US', 'state': 'IL', 'display_address': ['5758 W 65th St', 'Chicago, IL 60638'], 'cross_streets': 'Menard Ave & Major Ave'}","{'latitude': 41.77457, 'longitude': -87.7663}","['https://s3-media3.fl.yelpcdn.com/bphoto/waRRHG7s9CQtxxhd3iamqg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/uZ6BNJAym-ieI3vllr0YWg/o.jpg']",$,"[{'open': [{'is_overnight': True, 'start': '2000', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '2000', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '2000', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '2000', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '2000', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '2000', 'end': '0300', 'day': 5}, {'is_overnight': True, 'start': '2000', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",[],,
C8mmRS8SOIvCqTv4qz97bQ,the-twisted-shamrock-chicago,The Twisted Shamrock,https://s3-media3.fl.yelpcdn.com/bphoto/BL2KOZz5qa-FDxhkOSSQYA/o.jpg,True,False,https://www.yelp.com/biz/the-twisted-shamrock-chicago?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+17737351625,(773) 735-1625,29,"[{'alias': 'pubs', 'title': 'Pubs'}]",3.0,"{'address1': '6462 S Central Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60638', 'country': 'US', 'state': 'IL', 'display_address': ['6462 S Central Ave', 'Chicago, IL 60638'], 'cross_streets': '64th Pl & 65th St'}","{'latitude': 41.77454, 'longitude': -87.76192}","['https://s3-media3.fl.yelpcdn.com/bphoto/BL2KOZz5qa-FDxhkOSSQYA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/BBTqLnmp8ALnJ5YVmGjNKg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/AGUxMagjwzRPWoZ-YyLgSQ/o.jpg']",$,"[{'open': [{'is_overnight': True, 'start': '1300', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1300', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1300', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1300', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '0700', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '0700', 'end': '0300', 'day': 5}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",[],,
rl975fyKshZjWdfrnc651w,vaughans-pub-chicago,Vaughan's Pub,,False,False,https://www.yelp.com/biz/vaughans-pub-chicago?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+17735828559,(773) 582-8559,1,"[{'alias': 'pubs', 'title': 'Pubs'}]",1.0,"{'address1': '6462 S Central Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60638', 'country': 'US', 'state': 'IL', 'display_address': ['6462 S Central Ave', 'Chicago, IL 60638'], 'cross_streets': '64th Pl & 65th St'}","{'latitude': 41.7745399, 'longitude': -87.7619171}",[],$$,,[],,
7Ea3alXYW66D3UwK3iKFtg,lou-malnatis-pizzeria-chicago-14,Lou Malnati's Pizzeria,https://s3-media1.fl.yelpcdn.com/bphoto/2s1LyIGp6WIPNusNAls2iw/o.jpg,True,False,https://www.yelp.com/biz/lou-malnatis-pizzeria-chicago-14?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+17732379900,(773) 237-9900,236,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",3.5,"{'address1': '6456 S Cicero Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60638', 'country': 'US', 'state': 'IL', 'display_address': ['6456 S Cicero Ave', 'Chicago, IL 60638'], 'cross_streets': ''}","{'latitude': 41.77493, 'longitude': -87.74261}","['https://s3-media1.fl.yelpcdn.com/bphoto/2s1LyIGp6WIPNusNAls2iw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/YecvBVeVvKDUEpGL0aUMxw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/K5g8AHu_oYNut28SWvneyg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","['delivery', 'pickup']",,
KbZardpjFxsJ-NovX0K-0A,copper-fox-midway-chicago,Copper Fox Midway,https://s3-media1.fl.yelpcdn.com/bphoto/0RWW1IIWnYeIt6DqLPG6JQ/o.jpg,True,False,https://www.yelp.com/biz/copper-fox-midway-chicago?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+17085945500,(708) 594-5500,69,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}]",4.0,"{'address1': '6520 S Cicero Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60638', 'country': 'US', 'state': 'IL', 'display_address': ['6520 S Cicero Ave', 'Chicago, IL 60638'], 'cross_streets': ''}","{'latitude': 41.77391, 'longitude': -87.74443}","['https://s3-media1.fl.yelpcdn.com/bphoto/0RWW1IIWnYeIt6DqLPG6JQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/KtmIDmLARQmxRokRFyte-A/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/VVljOqI07b7dzKsxR29_1w/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '0600', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0600', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0600', 'end': '1200', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0600', 'end': '1200', 'day': 6}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],,
TteIfPf_wfxMO4ohISvfUw,panda-express-chicago-28,Panda Express,https://s3-media4.fl.yelpcdn.com/bphoto/7JeNJY3TVdVdQnA4raMYDA/o.jpg,True,False,https://www.yelp.com/biz/panda-express-chicago-28?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+17735816987,(773) 581-6987,47,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",2.5,"{'address1': '6501 S Cicero Ave', 'address2': None, 'address3': None, 'city': 'Chicago', 'zip_code': '60638', 'country': 'US', 'state': 'IL', 'display_address': ['6501 S Cicero Ave', 'Chicago, IL 60638'], 'cross_streets': ''}","{'latitude': 41.7746063772688, 'longitude': -87.7419591789808}","['https://s3-media4.fl.yelpcdn.com/bphoto/7JeNJY3TVdVdQnA4raMYDA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/XU0j8VAWHZeLA5FCIt6mxw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/6r5EUWZo5YWrMHiTsarPbw/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '2230', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '2230', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2230', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",[],,
vBKYnT_F6X8Abg4f-AVHaA,starbucks-bedford-park,Starbucks,https://s3-media2.fl.yelpcdn.com/bphoto/2hYPFwmcpmKKZKuet0UXiA/o.jpg,True,False,https://www.yelp.com/biz/starbucks-bedford-park?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+17085529650,(708) 552-9650,28,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",2.5,"{'address1': '6520 S Cicero Ave', 'address2': '', 'address3': 'Marriott - Bedford Park - Entrance', 'city': 'Bedford Park', 'zip_code': '60638', 'country': 'US', 'state': 'IL', 'display_address': ['6520 S Cicero Ave', 'Marriott - Bedford Park - Entrance', 'Bedford Park, IL 60638'], 'cross_streets': ''}","{'latitude': 41.774304, 'longitude': -87.744378}","['https://s3-media2.fl.yelpcdn.com/bphoto/2hYPFwmcpmKKZKuet0UXiA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/EMGuLgREZh8Qt-CA-FYqFw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/GoSNTf55j5kgFOZj5NVgUg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '0530', 'end': '1530', 'day': 0}, {'is_overnight': False, 'start': '0530', 'end': '1530', 'day': 1}, {'is_overnight': False, 'start': '0530', 'end': '1530', 'day': 2}, {'is_overnight': False, 'start': '0530', 'end': '1530', 'day': 3}, {'is_overnight': False, 'start': '0530', 'end': '1530', 'day': 4}, {'is_overnight': False, 'start': '0530', 'end': '1530', 'day': 5}, {'is_overnight': False, 'start': '0530', 'end': '1530', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],,
m909j8l5eyFfkB9bb1cIOA,dunkin-chicago-121,Dunkin',https://s3-media3.fl.yelpcdn.com/bphoto/9ubIuh9R74y2VFC76wPu8w/o.jpg,True,False,https://www.yelp.com/biz/dunkin-chicago-121?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+17737353913,(773) 735-3913,19,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",2.0,"{'address1': '6435 S Cicero Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60638', 'country': 'US', 'state': 'IL', 'display_address': ['6435 S Cicero Ave', 'Chicago, IL 60638'], 'cross_streets': ''}","{'latitude': 41.775513, 'longitude': -87.741882}","['https://s3-media3.fl.yelpcdn.com/bphoto/9ubIuh9R74y2VFC76wPu8w/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/P1Eeq8YbmX8HBiTTgEUKfw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/8XIrQ-3HpyldaHge-BmYKg/o.jpg']",$,"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",['delivery'],"{'url': 'https://www.yelp.com/raq/m909j8l5eyFfkB9bb1cIOA?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA#popup%3Araq', 'use_case_text': 'Message the Business'}",
SGSsYPI5yfYOgFEBIrxlZg,west-lawn-park-skate-park-chicago,West Lawn Park Skate Park,https://s3-media2.fl.yelpcdn.com/bphoto/UxCicQsCfFPC6KeXTH_k_A/o.jpg,False,False,https://www.yelp.com/biz/west-lawn-park-skate-park-chicago?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+17732842803,(773) 284-2803,1,"[{'alias': 'skate_parks', 'title': 'Skate Parks'}, {'alias': 'playgrounds', 'title': 'Playgrounds'}]",4.0,"{'address1': '4233 W 65th St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60629', 'country': 'US', 'state': 'IL', 'display_address': ['4233 W 65th St', 'Chicago, IL 60629'], 'cross_streets': 'Keeler Ave & Kildare Ave'}","{'latitude': 41.7747851, 'longitude': -87.728177}","['https://s3-media2.fl.yelpcdn.com/bphoto/UxCicQsCfFPC6KeXTH_k_A/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/2Mx_7N8WGZKyAQushods8g/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/rZQQooBcNqMjIVXkkQ_BqA/o.jpg']",,,[],,
6Cog7wYyyHSUJ7FWnbzHdg,monicas-pizza-chicago,Monicas Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/3i-Fs3wJAvtSHRN01YPKfg/o.jpg,False,False,https://www.yelp.com/biz/monicas-pizza-chicago?adjust_creative=Sa0PRNoWZaCJ8_5wRelooA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Sa0PRNoWZaCJ8_5wRelooA,+17737358160,(773) 735-8160,28,"[{'alias': 'pizza', 'title': 'Pizza'}]",3.5,"{'address1': '6448 S Pulaski Rd', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60629', 'country': 'US', 'state': 'IL', 'display_address': ['6448 S Pulaski Rd', 'Chicago, IL 60629'], 'cross_streets': '64th Pl & 65th St'}","{'latitude': 41.775323, 'longitude': -87.7228437}","['https://s3-media4.fl.yelpcdn.com/bphoto/3i-Fs3wJAvtSHRN01YPKfg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/81Py6feuMDdOUY6QVAQNSA/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/GTYg585BtrffO3gzlrXprw/o.jpg']",$,,['delivery'],,
