,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
0,chicken-inn-chicago,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'bbq', 'title': 'Barbeque'}]","{'longitude': -87.80717, 'latitude': 42.01803}",(773) 763-9466,90.69126737232527,SySGl4DNRY0eXmb-dwAjqQ,https://s3-media1.fl.yelpcdn.com/bphoto/uEyLb8V8MKnpo_J2ho4NoQ/o.jpg,False,"{'zip_code': '60631', 'state': 'IL', 'country': 'US', 'display_address': ['7536 N Milwaukee Ave', 'Chicago, IL 60631'], 'address3': '', 'address1': '7536 N Milwaukee Ave', 'address2': None, 'city': 'Chicago'}",Chicken Inn,+17737639466,$,4.0,106,"['delivery', 'pickup']",https://www.yelp.com/biz/chicken-inn-chicago?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
1,p-and-s-meats-chicago,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'greek', 'title': 'Greek'}]","{'longitude': -87.8071613, 'latitude': 42.0182656}",(773) 775-1503,96.0816530886416,obuPVfdOuYiPefp5YNDlNw,https://s3-media2.fl.yelpcdn.com/bphoto/cGbqKlEOKRhxRL_-qm3TKw/o.jpg,False,"{'zip_code': '60631', 'state': 'IL', 'country': 'US', 'display_address': ['7544 N Milwaukee Ave', 'Chicago, IL 60631'], 'address3': None, 'address1': '7544 N Milwaukee Ave', 'address2': None, 'city': 'Chicago'}",P & S Meats,+17737751503,$,4.5,17,['delivery'],https://www.yelp.com/biz/p-and-s-meats-chicago?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
2,white-castle-chicago-8,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'longitude': -87.8068923950195, 'latitude': 42.0186233520508}",(773) 763-7895,159.28948700149712,j-pOjLSSGF5YnPfUpwFCVg,https://s3-media4.fl.yelpcdn.com/bphoto/XLhRKuZoyHn1_evHc1r90A/o.jpg,False,"{'zip_code': '60631', 'state': 'IL', 'country': 'US', 'display_address': ['7550 N Harlem Ave', 'Chicago, IL 60631'], 'address3': '', 'address1': '7550 N Harlem Ave', 'address2': '', 'city': 'Chicago'}",White Castle,+17737637895,$,2.5,57,"['delivery', 'pickup']",https://www.yelp.com/biz/white-castle-chicago-8?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
3,taco-bell-niles-5,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'mexican', 'title': 'Mexican'}]","{'longitude': -87.806666, 'latitude': 42.018336}",(847) 647-1809,146.12474678225382,jm2KhbeXdOV5hllGUt0Jiw,https://s3-media3.fl.yelpcdn.com/bphoto/V4jcImXPmcMjuBnCYTtJVg/o.jpg,False,"{'zip_code': '60714', 'state': 'IL', 'country': 'US', 'display_address': ['7535 N Harlem Ave', 'Niles, IL 60714'], 'address3': None, 'address1': '7535 N Harlem Ave', 'address2': None, 'city': 'Niles'}",Taco Bell,+18476471809,$,2.5,32,['delivery'],https://www.yelp.com/biz/taco-bell-niles-5?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
4,dunkin-niles-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'donuts', 'title': 'Donuts'}]","{'longitude': -87.8064251, 'latitude': 42.0179877}",(847) 647-6998,154.443422257111,QLz5-gX3q-F1-ImKhgv9cw,https://s3-media4.fl.yelpcdn.com/bphoto/d2OpKnApCG-5FMYM9p5o2Q/o.jpg,False,"{'zip_code': '60714', 'state': 'IL', 'country': 'US', 'display_address': ['7525 N Harlem Ave', 'Niles, IL 60714'], 'address3': '', 'address1': '7525 N Harlem Ave', 'address2': '', 'city': 'Niles'}",Dunkin',+18476476998,$,1.5,31,['delivery'],https://www.yelp.com/biz/dunkin-niles-3?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
5,baskin-robbins-niles-2,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'longitude': -87.8065069019794, 'latitude': 42.0179951190948}",(847) 647-7621,151.3735814145472,LrcVXPKXUzTuLUPSUcn8Ew,,False,"{'zip_code': '60714', 'state': 'IL', 'country': 'US', 'display_address': ['7525 N Harlem Ave', 'Niles, IL 60714'], 'address3': '', 'address1': '7525 N Harlem Ave', 'address2': '', 'city': 'Niles'}",Baskin-Robbins,+18476477621,,1.0,2,['delivery'],https://www.yelp.com/biz/baskin-robbins-niles-2?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
6,candlelite-chicago-chicago,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]","{'longitude': -87.690411998488, 'latitude': 42.017466027951}",(773) 465-0087,130.21397810963046,vUPPFGB8m7F8bQGkh3-AfQ,https://s3-media3.fl.yelpcdn.com/bphoto/g2BzZdM4lV11eLSindHu7Q/o.jpg,False,"{'zip_code': '60645', 'state': 'IL', 'country': 'US', 'display_address': ['7452 N Western Ave', 'Chicago, IL 60645'], 'address3': '', 'address1': '7452 N Western Ave', 'address2': '', 'city': 'Chicago'}",Candlelite Chicago,+17734650087,$$,4.0,339,"['delivery', 'pickup']",https://www.yelp.com/biz/candlelite-chicago-chicago?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
7,el-garcia-chicago-3,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'longitude': -87.689835, 'latitude': 42.01806}",(872) 208-7144,104.32943092460717,IQnr4gmMcrSekXFkl1ITDg,https://s3-media1.fl.yelpcdn.com/bphoto/BSKBEnWL4MHPXiDki803-A/o.jpg,False,"{'zip_code': '60645', 'state': 'IL', 'country': 'US', 'display_address': ['7517 N Western Ave', 'Chicago, IL 60645'], 'address3': None, 'address1': '7517 N Western Ave', 'address2': '', 'city': 'Chicago'}",El Garcia,+18722087144,$$,4.0,109,"['delivery', 'pickup']",https://www.yelp.com/biz/el-garcia-chicago-3?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
8,siam-pasta-chicago-2,"[{'alias': 'thai', 'title': 'Thai'}]","{'longitude': -87.69059, 'latitude': 42.01643}",(773) 274-0579,183.23034691760512,S43ziNmMLBei4DnaeLrgJA,https://s3-media4.fl.yelpcdn.com/bphoto/tHrKqTXXQ6Nq9o2weuHe2A/o.jpg,False,"{'zip_code': '60645', 'state': 'IL', 'country': 'US', 'display_address': ['7416 N Western Ave', 'Chicago, IL 60645'], 'address3': '', 'address1': '7416 N Western Ave', 'address2': '', 'city': 'Chicago'}",Siam Pasta,+17732740579,$,3.5,103,"['delivery', 'pickup']",https://www.yelp.com/biz/siam-pasta-chicago-2?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
9,the-mark-ii-chicago,"[{'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'poolbilliards', 'title': 'Pool & Billiards'}]","{'longitude': -87.690423055545, 'latitude': 42.017070065136}",(773) 274-8623,139.02727383259753,pgwAIqeaM-scnX3XfmHDYQ,https://s3-media2.fl.yelpcdn.com/bphoto/LBK4XssoJB6btIrBTftbdg/o.jpg,False,"{'zip_code': '60645', 'state': 'IL', 'country': 'US', 'display_address': ['7436 N Western Ave', 'Chicago, IL 60645'], 'address3': '', 'address1': '7436 N Western Ave', 'address2': None, 'city': 'Chicago'}",The Mark II,+17732748623,$$,3.5,47,[],https://www.yelp.com/biz/the-mark-ii-chicago?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
