,id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,categories,rating,location,coordinates,photos,price,hours,transactions,messaging
0,idctZZL3KA8MUfz-QjGG6w,thai-pastry-and-restaurant-chicago,Thai Pastry & Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/fhcj_zZ-zTvCR0_AX-xKkg/o.jpg,True,False,https://www.yelp.com/biz/thai-pastry-and-restaurant-chicago?adjust_creative=q2SaR_S5ZwXQt6UuURD8Cw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=q2SaR_S5ZwXQt6UuURD8Cw,+17737845399,(773) 784-5399,312,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'soup', 'title': 'Soup'}]",3.5,"{'address1': '4925 N Broadway St', 'address2': 'Ste E', 'address3': '', 'city': 'Chicago', 'zip_code': '60640', 'country': 'US', 'state': 'IL', 'display_address': ['4925 N Broadway St', 'Ste E', 'Chicago, IL 60640'], 'cross_streets': 'Ainslie St & Argyle St'}","{'latitude': 41.97229, 'longitude': -87.6591399}","['https://s3-media3.fl.yelpcdn.com/bphoto/fhcj_zZ-zTvCR0_AX-xKkg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/ZwjXT-E18zTWZAXPWHM2sQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/XZ46Ynk7DVJttki6OOxebw/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","['delivery', 'pickup']",
1,Sx3f7tuMO_TXUHtQjHYONw,one-eleven-food-hall-chicago,one eleven food hall,https://s3-media4.fl.yelpcdn.com/bphoto/LRHelkH7xav9lN826Ziedw/o.jpg,False,False,https://www.yelp.com/biz/one-eleven-food-hall-chicago?adjust_creative=q2SaR_S5ZwXQt6UuURD8Cw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=q2SaR_S5ZwXQt6UuURD8Cw,,,23,"[{'alias': 'food_court', 'title': 'Food Court'}]",4.5,"{'address1': '712 E 111th St', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60628', 'country': 'US', 'state': 'IL', 'display_address': ['712 E 111th St', 'Chicago, IL 60628'], 'cross_streets': 'Union Ave & Langley Ave'}","{'latitude': 41.6927953199255, 'longitude': -87.6033771783113}","['https://s3-media4.fl.yelpcdn.com/bphoto/LRHelkH7xav9lN826Ziedw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/AzIO3HPuwTH43BPf4whXGQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/w25p9e89GzAW1soH7Nhn8w/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],
2,1b2lFEiNRKpMsIYTqhqiKg,karlas-kitchen-chicago-2,Karla's Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/oUuVgyo7StKcxkukuopvpQ/o.jpg,True,True,https://www.yelp.com/biz/karlas-kitchen-chicago-2?adjust_creative=q2SaR_S5ZwXQt6UuURD8Cw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=q2SaR_S5ZwXQt6UuURD8Cw,+17736969166,(773) 696-9166,2,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",3.0,"{'address1': '819 S Pulaski Rd', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60624', 'country': 'US', 'state': 'IL', 'display_address': ['819 S Pulaski Rd', 'Chicago, IL 60624'], 'cross_streets': 'Arthington St & Polk St'}","{'latitude': 41.8703587635362, 'longitude': -87.7250673249364}","['https://s3-media2.fl.yelpcdn.com/bphoto/oUuVgyo7StKcxkukuopvpQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/2wJ-JtBI1bQPgKVi5D-pIg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/o6FGDr1x6eZmzb5a_VVhvQ/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","['pickup', 'delivery']",
3,prRoQKojykTw15fPKnJfEA,lincoln-quality-meat-market-chicago,Lincoln Quality Meat Market,https://s3-media1.fl.yelpcdn.com/bphoto/7zsW3v0a3sjgg0YVsLB2yw/o.jpg,True,True,https://www.yelp.com/biz/lincoln-quality-meat-market-chicago?adjust_creative=q2SaR_S5ZwXQt6UuURD8Cw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=q2SaR_S5ZwXQt6UuURD8Cw,+17735614570,(773) 561-4570,56,"[{'alias': 'meats', 'title': 'Meat Shops'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,"{'address1': '4661 N Lincoln Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60625', 'country': 'US', 'state': 'IL', 'display_address': ['4661 N Lincoln Ave', 'Chicago, IL 60625'], 'cross_streets': 'Leland Ave'}","{'latitude': 41.966542268579, 'longitude': -87.686982470866}","['https://s3-media1.fl.yelpcdn.com/bphoto/7zsW3v0a3sjgg0YVsLB2yw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/ll9Rmyy57JjYhL2jXU6Hgg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/B047FhIZu7GyLMxhRpw7nw/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1600', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],
4,Sx3f7tuMO_TXUHtQjHYONw,one-eleven-food-hall-chicago,one eleven food hall,https://s3-media4.fl.yelpcdn.com/bphoto/LRHelkH7xav9lN826Ziedw/o.jpg,False,False,https://www.yelp.com/biz/one-eleven-food-hall-chicago?adjust_creative=q2SaR_S5ZwXQt6UuURD8Cw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=q2SaR_S5ZwXQt6UuURD8Cw,,,23,"[{'alias': 'food_court', 'title': 'Food Court'}]",4.5,"{'address1': '712 E 111th St', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60628', 'country': 'US', 'state': 'IL', 'display_address': ['712 E 111th St', 'Chicago, IL 60628'], 'cross_streets': 'Union Ave & Langley Ave'}","{'latitude': 41.6927953199255, 'longitude': -87.6033771783113}","['https://s3-media4.fl.yelpcdn.com/bphoto/LRHelkH7xav9lN826Ziedw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/AzIO3HPuwTH43BPf4whXGQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/w25p9e89GzAW1soH7Nhn8w/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],
5,ju69jWsZFKmnW3iqYK1zYw,taco-bell-chicago-52,Taco Bell,https://s3-media1.fl.yelpcdn.com/bphoto/X5qgU3TJH4ZDD4Z6bOvpqQ/o.jpg,True,False,https://www.yelp.com/biz/taco-bell-chicago-52?adjust_creative=q2SaR_S5ZwXQt6UuURD8Cw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=q2SaR_S5ZwXQt6UuURD8Cw,,,22,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",3.5,"{'address1': '2407 N. Clark Street', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60614', 'country': 'US', 'state': 'IL', 'display_address': ['2407 N. Clark Street', 'Chicago, IL 60614'], 'cross_streets': 'Arlington Pl & Fullerton Ave'}","{'latitude': 41.92586, 'longitude': -87.64034}","['https://s3-media1.fl.yelpcdn.com/bphoto/X5qgU3TJH4ZDD4Z6bOvpqQ/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/DPypSsPvDgQhwSoePsUbeA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/tqbJ9cUkXWJdLcQA67-FAw/o.jpg']",$,"[{'open': [{'is_overnight': True, 'start': '0900', 'end': '0100', 'day': 0}, {'is_overnight': True, 'start': '0900', 'end': '0100', 'day': 1}, {'is_overnight': True, 'start': '0900', 'end': '0100', 'day': 2}, {'is_overnight': True, 'start': '0900', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '0900', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '0900', 'end': '0100', 'day': 5}, {'is_overnight': True, 'start': '0900', 'end': '0100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",['delivery'],"{'url': 'https://www.yelp.com/raq/ju69jWsZFKmnW3iqYK1zYw?adjust_creative=q2SaR_S5ZwXQt6UuURD8Cw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=q2SaR_S5ZwXQt6UuURD8Cw#popup%3Araq', 'use_case_text': 'Message the Business'}"
6,_pFk6_VwuhAnzGnANfwhgw,paleteria-lindo-michoacan-chicago-5,Paleteria Lindo Michoacan,https://s3-media3.fl.yelpcdn.com/bphoto/QG0GtfHVSNK9zv7kzH0wdw/o.jpg,False,False,https://www.yelp.com/biz/paleteria-lindo-michoacan-chicago-5?adjust_creative=q2SaR_S5ZwXQt6UuURD8Cw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=q2SaR_S5ZwXQt6UuURD8Cw,+17733748337,(773) 374-8337,4,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",4.0,"{'address1': '3719 E 106th St', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60617', 'country': 'US', 'state': 'IL', 'display_address': ['3719 E 106th St', 'Chicago, IL 60617'], 'cross_streets': ''}","{'latitude': 41.70245, 'longitude': -87.53318}","['https://s3-media3.fl.yelpcdn.com/bphoto/QG0GtfHVSNK9zv7kzH0wdw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/uqdZq-viWKLY2TvNrHjnLg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/nPaUW8BnfvaNwnF9bYkz_w/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],
7,y3B_1AVpFtjbkn4VXVOuBg,ocean-sushi-chicago,Ocean Sushi,https://s3-media3.fl.yelpcdn.com/bphoto/EOCbjraGDJbbzdvAKGaJEw/o.jpg,True,True,https://www.yelp.com/biz/ocean-sushi-chicago?adjust_creative=q2SaR_S5ZwXQt6UuURD8Cw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=q2SaR_S5ZwXQt6UuURD8Cw,+17737548520,(773) 754-8520,16,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]",5.0,"{'address1': '5437 N Lincoln Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60625', 'country': 'US', 'state': 'IL', 'display_address': ['5437 N Lincoln Ave', 'Chicago, IL 60625'], 'cross_streets': ''}","{'latitude': 41.98062, 'longitude': -87.69254}","['https://s3-media3.fl.yelpcdn.com/bphoto/EOCbjraGDJbbzdvAKGaJEw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/fJTif18h1-xX2IqcH96kFQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/8S5O_DRJabGqymhYvOJHKA/o.jpg']",,,"['delivery', 'pickup']",
8,20KF5OXmmxMVK-zschk28g,captn-nemos-chicago-3,Capt'n Nemo's,https://s3-media3.fl.yelpcdn.com/bphoto/c0hk5EIYL8H8uzdSJ3pgvw/o.jpg,True,True,https://www.yelp.com/biz/captn-nemos-chicago-3?adjust_creative=q2SaR_S5ZwXQt6UuURD8Cw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=q2SaR_S5ZwXQt6UuURD8Cw,+17739297687,(773) 929-7687,226,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'soup', 'title': 'Soup'}]",4.0,"{'address1': '3650 N Ashland Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60613', 'country': 'US', 'state': 'IL', 'display_address': ['3650 N Ashland Ave', 'Chicago, IL 60613'], 'cross_streets': 'Addison St & Waveland Ave'}","{'latitude': 41.94847, 'longitude': -87.66926}","['https://s3-media3.fl.yelpcdn.com/bphoto/c0hk5EIYL8H8uzdSJ3pgvw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/ggj1y3D9aEakrQiSI0Cajg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/JjbE_aQscS4vu3CH_tMFCw/o.jpg']",$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",['delivery'],
9,AFO2svdyMkT_SL_AU_mcqg,the-halal-burger-chicago,The Halal Burger,https://s3-media4.fl.yelpcdn.com/bphoto/JLLB-d1KBuKedvD6lrHUHw/o.jpg,True,False,https://www.yelp.com/biz/the-halal-burger-chicago?adjust_creative=q2SaR_S5ZwXQt6UuURD8Cw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=q2SaR_S5ZwXQt6UuURD8Cw,+17738566663,(773) 856-6663,80,"[{'alias': 'halal', 'title': 'Halal'}, {'alias': 'burgers', 'title': 'Burgers'}]",3.5,"{'address1': '6234 N California', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60659', 'country': 'US', 'state': 'IL', 'display_address': ['6234 N California', 'Chicago, IL 60659'], 'cross_streets': 'Rosemont Ave & Granville Ave'}","{'latitude': 41.9949541, 'longitude': -87.6997296}","['https://s3-media4.fl.yelpcdn.com/bphoto/JLLB-d1KBuKedvD6lrHUHw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/XAyT-5qL6_JQy0ydNiDK1Q/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/65K-E2n7oT12wekPqKj4rg/o.jpg']",$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","['delivery', 'pickup']","{'url': 'https://www.yelp.com/raq/AFO2svdyMkT_SL_AU_mcqg?adjust_creative=q2SaR_S5ZwXQt6UuURD8Cw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=q2SaR_S5ZwXQt6UuURD8Cw#popup%3Araq', 'use_case_text': 'Message the Business'}"
